S.No.,Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %
202.,L&T Technology,4364.00,36.69,46247.22,1.25,310.20,-9.01,2982.40,17.53,28.29
203.,Authum Invest,2712.00,10.83,46061.95,0.04,1766.46,17.90,1442.07,62.76,31.25
204.,Container Corpn.,754.85,35.01,45992.61,1.23,298.88,-5.81,2287.83,-1.60,13.69
205.,Premier Energies,1018.55,49.03,45913.63,0.05,277.81,167.23,1620.84,43.87,41.46
206.,Petronet LNG,297.00,11.20,44550.00,3.36,1094.90,43.23,12315.75,-10.71,25.57
207.,Multi Comm. Exc.,8666.10,78.92,44195.62,0.09,135.46,54.16,291.33,60.83,42.86
208.,CRISIL,5955.00,61.68,43548.96,0.92,159.84,16.06,813.18,10.23,35.60
209.,Voltas,1310.60,52.60,43365.81,0.53,235.69,113.02,4767.56,13.44,17.64
210.,Godfrey Phillips,8296.05,37.43,43134.43,0.65,279.61,31.17,1573.39,79.76,29.62
211.,Narayana Hrudaya,2095.90,53.82,42831.98,0.20,197.28,7.80,1475.44,18.39,20.63
212.,Godrej Industrie,1247.20,42.77,41999.70,0.00,416.13,822.49,5779.69,26.55,8.32
213.,Bank of Maha,54.36,7.56,41811.32,2.73,1502.32,22.15,6730.82,23.12,5.72
214.,Thermax,3434.80,65.32,40927.82,0.41,205.55,9.58,3084.93,11.62,16.18
215.,Astral,1503.85,77.87,40398.67,0.25,178.10,-1.77,1681.40,3.46,20.34
216.,SJVN,100.68,48.49,39565.15,1.79,-127.72,-330.35,504.40,4.45,4.87
217.,Dalmia BharatLtd,2094.95,56.03,39293.96,0.43,439.00,38.10,4091.00,-5.02,5.58
218.,Tata Elxsi,6264.00,49.58,39015.11,1.20,172.42,-12.45,908.34,0.26,36.26
219.,K P R Mill Ltd,1127.35,47.27,38534.43,0.44,204.55,-4.24,1768.98,4.26,20.26
220.,Chola Financial,2030.00,17.56,38118.83,0.03,1362.18,19.59,8913.37,26.15,10.57
221.,UCO Bank,30.20,15.47,37869.50,1.32,652.43,24.09,6744.59,15.10,5.76
222.,Gujarat Fluoroch,3442.15,69.27,37812.03,0.09,191.00,89.11,1225.00,8.12,9.88
223.,Endurance Tech.,2685.00,45.62,37768.00,0.34,245.13,12.13,2963.49,10.38,18.21
224.,Cohance Life,981.80,141.84,37560.41,0.00,38.73,-27.43,402.02,58.95,16.82
225.,Kaynes Tech,5845.20,127.71,37458.53,0.00,116.20,43.00,984.48,54.48,14.42
,Median: 501 Co.,897.0,42.18,31594.52,0.45,211.0,14.87,2060.64,10.6,15.99
226.,M & M Fin. Serv.,266.45,16.35,37035.76,2.43,456.19,-31.95,4885.63,14.14,8.84
227.,Escorts Kubota,3305.70,29.26,36983.44,0.83,318.42,12.43,2444.88,6.27,13.59
228.,C D S L,1743.80,69.22,36445.42,0.53,100.40,-22.40,224.45,-6.78,41.93
229.,KEI Industries,3803.00,52.20,36338.62,0.10,226.55,34.25,2914.79,25.11,21.31
230.,Laurus Labs,669.40,112.87,36097.56,0.18,232.77,210.28,1720.30,19.49,9.15
231.,Radico Khaitan,2694.80,104.50,36062.82,0.15,90.71,59.73,1304.08,20.90,16.22
232.,KPIT Technologi.,1293.00,42.18,35446.74,0.51,244.73,49.38,1528.34,15.98,40.88
233.,Central Bank,38.84,9.04,35155.69,0.00,1106.49,35.32,8653.26,3.37,5.45
234.,ACC,1855.75,15.07,34848.60,0.41,751.04,-11.60,6066.52,12.16,17.44
235.,Ipca Labs.,1357.55,39.71,34441.61,0.30,63.99,179.63,2246.69,10.51,15.03
236.,Natl. Aluminium,187.50,6.47,34436.87,4.23,2067.23,203.24,5267.83,47.19,43.96
237.,Garden Reach Sh.,2998.20,65.07,34344.90,0.29,244.25,118.86,1642.04,61.66,37.28
238.,Tata Inv.Corpn.,6788.05,109.97,34344.38,0.40,37.72,-37.62,16.43,-71.23,1.21
239.,Poonawalla Fin,439.20,,34184.02,0.45,62.33,-81.21,1166.27,27.46,4.79
240.,Honeywell Auto,38610.05,65.18,34131.29,0.27,139.90,-5.60,1114.50,17.23,18.40
241.,Gillette India,10438.50,63.73,34019.08,0.63,158.68,60.14,767.47,12.74,58.91
242.,NBCC,125.10,55.37,33777.00,0.44,182.67,21.36,4642.55,16.17,33.48
243.,Blue Star,1640.30,57.94,33726.98,0.55,194.00,21.24,4018.96,20.77,26.05
